continent,order,family,genus,genus_age,richness,mass_mean_log10,mass_mean_grams
North America,Insectivora,Soricidae,Notiosorex,3.4,1,0.64,4.365158322
Africa,Rodentia,Muridae,Delanymys,3.4,1,0.7,5.011872336
North America,Insectivora,Soricidae,Sorex,16.3,29,0.74,5.495408739
Africa,Insectivora,Soricidae,Suncus,5.2,6,0.84,6.918309709
Australia,Dasyuromorphia,Dasyuridae,Ningaui,5.2,3,0.84,6.918309709
Africa,Insectivora,Soricidae,Sylvisorex,1.6,3,0.85,7.079457844
Australia,Dasyuromorphia,Dasyuridae,Planigale,3.4,4,0.85,7.079457844
North America,Rodentia,Muridae,Baiomys,7,2,0.93,8.511380382
North America,Insectivora,Talpidae,Neurotrichus,5.2,1,0.95,8.912509381
Australia,Diprotodontia,Tarsipedidae,Tarsipes,1.6,1,0.95,8.912509381
South America,Insectivora,Soricidae,Cryptotis,6,12,0.99,9.77237221
Africa,Rodentia,Muridae,Desmodilliscus,0.2,1,1,10
Africa,Insectivora,Soricidae,Crocidura,23.3,97,1.01,10.23292992
North America,Rodentia,Muridae,Scotinomys,,1,1.05,11.22018454
North America,Rodentia,Heteromyidae,Microdipodops,3,2,1.06,11.48153621
Africa,Insectivora,Soricidae,Myosorex,5.2,2,1.07,11.74897555
Australia,Diprotodontia,Arcobatidae,Arcobates,29.3,1,1.08,12.02264435
North America,Rodentia,Heteromyidae,Perognathus,17,10,1.08,12.02264435
Africa,Rodentia,Muridae,Mus,5.2,8,1.12,13.18256739
Africa,Rodentia,Muridae,Malacothrix,10.4,1,1.13,13.48962883
South America,Rodentia,Muridae,Microryzomys,,2,1.13,13.48962883
Africa,Rodentia,Muridae,Heimyscus,,1,1.15,14.12537545
North America,Rodentia,Muridae,Reithrodontomys,5,15,1.16,14.45439771
North America,Insectivora,Soricidae,Blarina,3,1,1.18,15.13561248
Australia,Diprotodontia,Burramyidae,Cercartetus,29.3,4,1.2,15.84893192
South America,Rodentia,Muridae,Neacomys,,3,1.22,16.59586907
Africa,Insectivora,Soricidae,Ruwenzorisorex,,1,1.26,18.19700859
Australia,Rodentia,Muridae,Leggadina,1.6,2,1.27,18.62087137
South America,Didelphimorphia,Didelphidae,Gracilinanus,,6,1.28,19.05460718
South America,Rodentia,Muridae,Chilomys,,1,1.28,19.05460718
Africa,Rodentia,Muridae,Hylomyscus,,4,1.29,19.498446
South America,Rodentia,Muridae,Eligmodontia,,4,1.29,19.498446
Africa,Rodentia,Muridae,Steatomys,1.6,3,1.3,19.95262315
North America,Insectivora,Soricidae,Megasorex,,1,1.3,19.95262315
Africa,Rodentia,Muridae,Petromyscus,,2,1.3,19.95262315
North America,Rodentia,Heteromyidae,Chaetodipus,1,13,1.3,19.95262315
Australia,Dasyuromorphia,Dasyuridae,Sminthopsis,1.6,19,1.31,20.41737945
South America,Rodentia,Muridae,Neusticomys,,5,1.32,20.89296131
South America,Paucituberculate,Caenolestidae,Rhyncholestes,,1,1.32,20.89296131
South America,Rodentia,Muridae,Rhagomys,,1,1.33,21.3796209
South America,Rodentia,Muridae,Calomys,1.6,9,1.33,21.3796209
South America,Rodentia,Muridae,Notiomys,,1,1.33,21.3796209
North America,Rodentia,Muridae,Clethrionomys,,3,1.33,21.3796209
South America,Microbiotheria,Microbiotheriidae,Dromiciops,,1,1.35,22.38721139
North America,Rodentia,Dipodidae,Napaeozapus,,1,1.35,22.38721139
North America,Rodentia,Muridae,Ochrotomys,,1,1.35,22.38721139
North America,Rodentia,Muridae,Arborimus,,2,1.35,22.38721139
North America,Rodentia,Dipodidae,Zapus,4,3,1.38,23.98832919
South America,Rodentia,Muridae,Thalpomys,,2,1.38,23.98832919
Africa,Insectivora,Chrysochloridae,Calcochloris,,1,1.38,23.98832919
South America,Rodentia,Muridae,Oligoryzomys,,13,1.39,24.54708916
South America,Rodentia,Muridae,Chroeomys,,2,1.4,25.11886432
North America,Rodentia,Muridae,Phenacomys,,1,1.4,25.11886432
Africa,Rodentia,Muridae,Praomys,1.6,4,1.41,25.70395783
North America,Rodentia,Muridae,Synaptomys,,2,1.42,26.30267992
Africa,Insectivora,Chrysochloridae,Eremitalpa,,1,1.42,26.30267992
South America,Rodentia,Muridae,Scolomys,,2,1.42,26.30267992
Australia,Dasyuromorphia,Dasyuridae,Parentechinus,,1,1.44,27.54228703
North America,Rodentia,Muridae,Onychomys,,3,1.44,27.54228703
Africa,Rodentia,Muridae,Acomys,,6,1.45,28.18382931
South America,Rodentia,Muridae,Bibimys,,2,1.45,28.18382931
South America,Paucituberculate,Caenolestidae,Lestoros,,1,1.45,28.18382931
North America,Rodentia,Muridae,Lemmiscus,,1,1.45,28.18382931
North America,Rodentia,Muridae,Peromyscus,14,36,1.45,28.18382931
Australia,Dasyuromorphia,Dasyuridae,Dasykaluta,,1,1.46,28.84031503
South America,Rodentia,Muridae,Andalgalomys,,2,1.46,28.84031503
Australia,Dasyuromorphia,Dasyuridae,Pseudantechinus,,3,1.47,29.51209227
South America,Paucituberculate,Caenolestidae,Caenolestes,,3,1.48,30.1995172
Australia,Rodentia,Muridae,Pseudomys,5.2,21,1.48,30.1995172
North America,Rodentia,Muridae,Podomys,,1,1.49,30.90295433
Africa,Rodentia,Muridae,Lophuromys,10.4,3,1.49,30.90295433
South America,Rodentia,Muridae,Akodon,5.2,43,1.5,31.6227766
Africa,Rodentia,Muridae,Gerbillurus,,4,1.5,31.6227766
South America,Rodentia,Muridae,Geoxus,,1,1.5,31.6227766
South America,Didelphimorphia,Didelphidae,Marmosops,,9,1.5,31.6227766
Africa,Rodentia,Muridae,Gerbillus,3.4,9,1.5,31.6227766
South America,Rodentia,Muridae,Wilfredomys,,2,1.52,33.11311215
Africa,Rodentia,Muridae,Uranomys,,1,1.53,33.88441561
South America,Rodentia,Muridae,Podoxymys,,1,1.53,33.88441561
North America,Rodentia,Muridae,Otonyctomys,,1,1.56,36.30780548
South America,Rodentia,Muridae,Blarinomys,,1,1.57,37.15352291
Africa,Macroscelidea,Macroscelididae,Macroscelides,,1,1.58,38.01893963
South America,Rodentia,Muridae,Bolomys,,5,1.58,38.01893963
South America,Rodentia,Sciuridae,Sciurillus,,1,1.59,38.9045145
North America,Rodentia,Muridae,Rheomys,,3,1.59,38.9045145
Africa,Rodentia,Muridae,Grammomys,,3,1.6,39.81071706
South America,Rodentia,Muridae,Neusticomys,,1,1.6,39.81071706
North America,Rodentia,Muridae,Neotomodon,,1,1.6,39.81071706
Africa,Rodentia,Myoxidae,Graphiurus,,4,1.6,39.81071706
Africa,Insectivora,Chrysochloridae,Amblysomus,,3,1.61,40.73802778
Aust,Rodentia,Muridae,Xeromys,,1,1.61,40.73802778
Australia,Diprotodontia,Burramyidae,Burramys,,1,1.62,41.68693835
North America,Insectivora,Talpidae,Condylura,,1,1.62,41.68693835
South America,Didelphimorphia,Didelphidae,Marmosa,5.2,10,1.63,42.65795188
South America,Rodentia,Muridae,Aepeomys,,2,1.63,42.65795188
North America,Rodentia,Muridae,Microtus,,19,1.63,42.65795188
Africa,Rodentia,Muridae,Dephomys,,1,1.63,42.65795188
South America,Rodentia,Muridae,Irenomys,,1,1.63,42.65795188
Africa,Rodentia,Muridae,Rhabdomys,,1,1.64,43.65158322
Africa,Insectivora,Chrysochloridae,Chrysochloris,,2,1.65,44.66835922
South America,Rodentia,Muridae,Phyllotis,1,13,1.65,44.66835922
Australia,Dasyuromorphia,Dasyuridae,Antechinus,,8,1.67,46.77351413
South America,Rodentia,Muridae,Wiedomys,,1,1.67,46.77351413
South America,Rodentia,Muridae,Melanomys,,3,1.67,46.77351413
