Species_name,Pred_mass_mg,Pred_mass_kg,Prey_mass_mg,Prey_mass_kg
Canis latrans,1.33E+07,1.33E+01,1.60E+06,1.60E+00
Lynx canadensis,1.01E+07,1.01E+01,1.60E+06,1.60E+00
Mustela nivalis,4.75E+04,4.75E-02,2.82E+04,2.82E-02
Canis lupus,2.66E+07,2.66E+01,1.01E+08,1.01E+02
Vulpes vulpes,4.13E+06,4.13E+00,4.18E+06,4.18E+00
Lynx lynx,1.45E+07,1.45E+01,2.63E+07,2.63E+01
Lynx lynx,1.45E+07,1.45E+01,2.63E+07,2.63E+01
Lynx lynx,2.30E+07,2.30E+01,2.63E+07,2.63E+01
Lynx lynx,2.30E+07,2.30E+01,2.63E+07,2.63E+01
Alopex lagopus,5.20E+06,5.20E+00,6.60E+04,6.60E-02
Mustela erminea,1.10E+05,1.10E-01,6.60E+04,6.60E-02
Mustela erminea,1.10E+05,1.10E-01,6.60E+04,6.60E-02
Sorex cinereus cinereus,5.20E+03,5.20E-03,1.65E+01,1.65E-05
Blarina brevicauda talpoides,2.16E+04,2.16E-02,1.65E+01,1.65E-05
Peromyscus maniculatus bairdii,2.05E+04,2.05E-02,1.65E+01,1.65E-05
Peromyscus maniculatus bairdii,2.05E+04,2.05E-02,1.65E+01,1.65E-05
Peromyscus maniculatus bairdii,2.05E+04,2.05E-02,1.65E+01,1.65E-05
Peromyscus maniculatus bairdii,2.05E+04,2.05E-02,1.65E+01,1.65E-05
Canis lupus,2.66E+07,2.66E+01,3.86E+08,3.86E+02
Ursus arctos,2.78E+08,2.78E+02,1.00E+06,1.00E+00
Ursus arctos,2.78E+08,2.78E+02,1.00E+06,1.00E+00
Ursus arctos,2.78E+08,2.78E+02,1.00E+06,1.00E+00
Ursus arctos,2.78E+08,2.78E+02,1.00E+06,1.00E+00
Ursus arctos,2.78E+08,2.78E+02,1.00E+06,1.00E+00
Ursus arctos,2.78E+08,2.78E+02,1.00E+06,1.00E+00
Ursus arctos,2.78E+08,2.78E+02,1.00E+06,1.00E+00
Canis lupus ,2.66E+07,2.66E+01,3.86E+08,3.86E+02
Martes martes,1.30E+06,1.30E+00,2.07E+05,2.07E-01
Lynx canadensis,1.01E+07,1.01E+01,1.60E+06,1.60E+00
Canis latrans,1.33E+07,1.33E+01,1.60E+06,1.60E+00
