Predator,Predbodymasskg,Prey,JacobsIndex,JI_SE,PercentOfKills,SE,Preybodymasskg34adultfemalemass,Preybodymasskg,HerdSize,HabitatDensity,ThreatToPredator
Panthera leo,204,Blue duiker Cephalophus monticola,-1,0,0,0,3,4,1,3,0
Panthera leo,204,Vervet monkey Cercopithecus aethiops,-1,0,0,0,3.5,4.666666667,4,2,0
Panthera leo,204,Sharpe’s grysbok Raphicerus sharpei,-0.96,0.03,0.04,0.02,7,9.333333333,1,2.5,0
Panthera leo,204,Steenbok Raphicerus campestris,-0.86,0.08,0.07,0.03,8,10.66666667,1.5,1.5,0
Panthera leo,204,Klipspringer Oreotragus oreotragus,-0.96,0.01,0.02,0.01,10,13.33333333,2.5,3,0
Panthera leo,204,Porcupine Hystrix africaeaustralis,0.58,0,2,0,10,13.33333333,1,2,1.5
Panthera leo,204,Red duiker Cephalophus natalensis,-1,0,0,NaN,10,13.33333333,1,3,0
Panthera leo,204,Baboon Papio cynocephalus,-0.89,0.11,1.25,0.56,12,16,5,2,1
Panthera leo,204,Oribi Ourebia ourebi,-0.72,0.28,0.9,0.64,14,18.66666667,2,1,0
Panthera leo,204,Thomson’s gazelle Gazella thomsoni,-0.62,0.17,10.33,3.65,15,20,5,1,0
Panthera leo,204,Common duiker Sylvicapra grimmia,-0.83,0.07,0.22,0.08,16,21.33333333,1,2.5,0
Panthera leo,204,Bushbuck Tragelaphus scriptus,-0.53,0.2,1.94,0.52,23,30.66666667,1,3,0
Panthera leo,204,Springbok Antidorcas marsupialis,-0.59,0.32,29.38,14.69,26,34.66666667,5,1,0
Panthera leo,204,Chital deer Axis axis,-0.81,0.19,21.48,15.19,30,40,5,1.5,0
Panthera leo,204,Impala Aepyceros melampus,-0.73,0.05,9.94,1.7,30,40,4,2,0
Panthera leo,204,Reedbuck Redunca sp.,-0.57,0.15,0.61,0.15,30,40,3,3,0
Panthera leo,204,Grant’s gazelle Gazella granti,-0.56,0.22,1.31,0.49,38,50.66666667,4,1,0
Panthera leo,204,Aardvark Orycteropus afer,0.03,0,0.25,0,40,53.33333333,1,2,0
Panthera leo,204,Warthog Phacochoerus africanus,0.11,0.09,8.07,1.29,45,60,3,2,0
Panthera leo,204,Bushpig Potamochoerus larvatus,0.11,0.26,1.91,1.35,46,61.33333333,3,3,1
Panthera leo,204,Kob Kobus kob,-0.31,0.26,27.89,13.95,47,62.66666667,4,2,0
Panthera leo,204,Nyala Tragelaphus angasi,-0.32,0.14,15.95,6.03,47,62.66666667,3,2,0
Panthera leo,204,Puku Kobus vardoni,-0.058,0,1,NaN,47,62.66666667,4,1,0
Panthera leo,204,Ostrich Struthio camelus,-0.55,0.17,1.25,0.38,70,93.33333333,3,1.5,0
Panthera leo,204,Topi/tsessebe Damaliscus lunatus,0.01,13,5.56,1.54,90,120,3,2,0
Panthera leo,204,Hartebeest Alcephalus buselaphus,0.02,0.13,9.66,2.22,95,126.6666667,4,1.5,0.5
Panthera leo,204,Nilgai Boselaphus tragocamelus,-1,0,0,NaN,120,160,3,2,0
Panthera leo,204,Kudu Tragelaphus strepsiceros,0.13,0.12,7.47,1.49,135,180,3,2,0
Panthera leo,204,Wildebeest Connochaetes taurinus,0.27,0.08,25.99,4.22,135,180,5,1,0
Panthera leo,204,Gemsbok Oryx gazella,0.7,0.06,23.29,11.65,158,210.6666667,4,1,2
Panthera leo,204,Zebra Equus burchellii,0.16,0.07,15.19,2.4,175,233.3333333,3,2,1
Panthera leo,204,Sable Hippotragus niger,-0.05,0.2,2.18,0.63,180,240,4,2,0.5
Panthera leo,204,Waterbuck Kobus ellipsiprymnus,0.18,0.12,7.98,1.46,188,250.6666667,3.5,2,0.5
Panthera leo,204,Sambar deer Cervus unicolor,-0.16,0.84,7.39,5.23,200,266.6666667,4,2,0
Panthera leo,204,Roan Hippotragus equinus,0.15,0.17,1.53,0.46,220,293.3333333,3.5,2,0.5
Panthera leo,204,Eland Tragelaphus oryx,0.18,0.14,2.33,0.48,345,460,5,2,1
Panthera leo,204,Buffalo Syncerus caffer,0.32,0.1,20.65,3.77,432,576,5,2,2
Panthera leo,204,Giraffe Giraffa camelopardalis,0.24,0.1,6.32,1.29,550,733.3333333,3,2,2
Panthera leo,204,Hippopotamus Hippopotamus amphibius,-0.45,0.33,5.75,2.88,750,1000,3,1.5,2
Panthera leo,204,Black rhinoceros Diceros bicornis,-1,0,0,0,800,1066.666667,1,3,2
Panthera leo,204,White rhinoceros Ceratotherium simum,-1,0,0,0,1400,1866.666667,2,1.5,2
Panthera leo,204,Elephant Loxodonta africana,-0.87,0.12,1.01,0.36,1600,2133.333333,3,2,2
Crocuta crocuta,79.5,Grysbok Raphicerus sp.,-0.12,0.88,0.29,0.29,7.5,10,1,2,0
Crocuta crocuta,79.5,Steenbuck Raphicerus campestris,-0.56,0.26,6.79,6.08,8,10.66666667,1.5,1.5,0
Crocuta crocuta,79.5,"Duiker, red Cephalophus natalensis",-0.7,0.3,0.53,0.53,10,13.33333333,1,3,0
Crocuta crocuta,79.5,Klipspringer Oreotragus oreotragus,-0.84,0.16,0.56,0.56,10,13.33333333,2.5,3,0
Crocuta crocuta,79.5,Baboon Papio sp.,-0.99,0.01,0.75,0.75,12,16,5,2,1
Crocuta crocuta,79.5,Thomson’s gazelle Gazella thomsoni,-0.46,0.12,20.64,9.66,15,20,5,1,0
Crocuta crocuta,79.5,"Duiker, common Sylvicapra grimmia",-0.45,0.23,2.13,1.08,16,21.33333333,1,3,0
Crocuta crocuta,79.5,Bushbuck Tragelaphus scriptus,0.1,0.19,10.89,6.57,23,30.66666667,1,3,0
Crocuta crocuta,79.5,Springbuck Antidorcas marsupialis,-0.81,0.05,6.27,3.12,26,34.66666667,5,1,0
Crocuta crocuta,79.5,Impala Aepyceros melampus,-0.09,0.15,28.29,7.75,30,40,4,2,0
Crocuta crocuta,79.5,Reedbuck sp. Redunca sp.,-0.52,0.48,0.81,0.81,32,42.66666667,3,1.5,0
Crocuta crocuta,79.5,Grant’s gazelle Gazella granti,-0.19,0.5,2.22,1.39,38,50.66666667,4,1,0
Crocuta crocuta,79.5,Warthog Phacochoerus aethiops,-0.2,0.21,4.45,1.51,45,60,3,2,1.5
Crocuta crocuta,79.5,Bushpig Potamochoerus larvatus,-0.12,0.88,2.11,2.11,46,61.33333333,3,3,1
Crocuta crocuta,79.5,Nyala Tragelaphus angasi,-0.33,0.35,15.37,9.65,47,62.66666667,3,2,0.5
Crocuta crocuta,79.5,Topi/Tsessebe Damaliscus lunatus,0.01,0.4,4.41,2.08,94.5,126,4,1.5,1
Crocuta crocuta,79.5,Hartebeest Alcephalus busephalus,-0.36,0.24,4.2,2.33,95,126.6666667,4,1.5,1
Crocuta crocuta,79.5,Kudu Tragelaphus strepsiceros,0.11,0.19,10.42,3.66,135,180,3,2,0.5
Crocuta crocuta,79.5,Wildebeest Connochaetes taurinus,0.02,0.13,26.92,6.76,135,180,5,1,1.5
Crocuta crocuta,79.5,Gemsbok Oryx gazella,0.62,0.25,63.85,8.58,158,210.6666667,4,1,2
Crocuta crocuta,79.5,Zebra Equus burchelli,-0.44,0.12,9.1,2.38,175,233.3333333,3,2,1.5
Crocuta crocuta,79.5,Sable Hippotragus niger,-1,0,0,0,180,240,4,2,1.5
Crocuta crocuta,79.5,Waterbuck Kobus ellipsiprymnus,-0.02,0.19,2.31,1.07,188,250.6666667,3.5,2,1.5
Crocuta crocuta,79.5,Roan Hippotragus equines,-0.56,0.44,1.2,1.2,220,293.3333333,3.5,2,1.5
Crocuta crocuta,79.5,Eland Tragelaphus oryx,-0.34,0.33,2.54,1.6,345,460,5,2,2
Crocuta crocuta,79.5,Buffalo Syncerus caffer,-0.39,0.17,6.04,1.91,432,576,5,2,2
Crocuta crocuta,79.5,Giraffe Giraffa camelopardalis,-0.59,0.2,5.66,4.41,550,733.3333333,3,2,2
Crocuta crocuta,79.5,Hippopotamus Hippopotamus amphibius,0.28,0.53,3.58,0.58,750,1000,3,1.5,2
Crocuta crocuta,79.5,Elephant Loxodonta africana,-1,0,0,0,1600,2133.333333,4,2,2
Panthera pardus,81.5,Ground squirrel Xerus inauris,-0.19,0.81,0.6,0.6,0.5,0.666666667,4,1,0
Panthera pardus,81.5,"Cane rat, greater Thryonomys swinderianus",-0.78,NaN,3.3,NaN,1,1.333333333,1,1,0
Panthera pardus,81.5,Hares Lepus sp.,-0.53,0.07,3.3,0.9,1.5,2,1,1.5,0
Panthera pardus,81.5,"Guenon, red-tailed Cercopithecus ascanius",-0.48,NaN,4.5,NaN,1.8,2.4,4,3,0
Panthera pardus,81.5,Bates’s pygmy antelope Neotragus batesi,0.61,0.39,2,1,2,2.666666667,1,3,0
Panthera pardus,81.5,"Guenon, wolf-dent Cercopithecus wolfi-denti",-0.75,NaN,2.4,NaN,2,2.666666667,4,3,0
Panthera pardus,81.5,"Hyrax, rock Procavia capensis",0.81,NaN,15.8,NaN,2,2.666666667,3,3,0
Panthera pardus,81.5,"Guenon, crowned Cercopithecus pogonias",0.44,0.02,2.2,0.8,2.5,3.333333333,4,3,0
Panthera pardus,81.5,"Monkey, moustached Cercopithecus cephus",0.23,0.43,3.9,1.8,2.5,3.333333333,4,3,0
Panthera pardus,81.5,Mouse deer Tragulus meminna,-1,NaN,0,NaN,2.5,3.333333333,1,3,0
Panthera pardus,81.5,Springhare Pedetes capensis,-1,0,0,NaN,2.5,3.333333333,3,1,0
Panthera pardus,81.5,"Dik-dik, Kirk’s Madoqua kirki",0.89,NaN,5.3,NaN,3,4,1.5,2,0
Panthera pardus,81.5,"Duiker, blue Cephalophus monticola",-0.02,0.35,8.9,5.2,3,4,2,3,0
Panthera pardus,81.5,"Guenon, l’Hoest’s Cercopithecus l’hoesti",0.95,NaN,8.3,NaN,3,4,4,3,0
Panthera pardus,81.5,"Guenon, owl-faced Cercopithecus hamlyni",0.84,NaN,0.7,NaN,3,4,3,3,0
Panthera pardus,81.5,"Monkey, vervet Cercopithecus aethiops",-0.06,0.26,3.1,1,3.5,4.666666667,4,2,0
Panthera pardus,81.5,"Monkey, blue Cercopithecus mitis",-0.85,NaN,1.4,NaN,4,5.333333333,4,3,0
Panthera pardus,81.5,"Monkey, de Brazza’s Cercopithecus neglectus",-1,NaN,0,NaN,4,5.333333333,4,3,0
Panthera pardus,81.5,"Monkey, patas Erythrocebus patas",-1,NaN,0,NaN,4,5.333333333,4,2,0
Panthera pardus,81.5,"Monkey, putty-nosed Cercopithecus nictitans",-0.53,0.43,7.9,7.9,4,5.333333333,4,3,0
Panthera pardus,81.5,"Mangabey, crested Cerocebus galeritus",-0.62,NaN,0.3,NaN,5,6.666666667,4,3,0
Panthera pardus,81.5,"Mangabey, grey-cheeked Cerocebus albigenia",-0.24,0.64,2.8,2.1,5,6.666666667,4,3,0
Panthera pardus,81.5,"Colobus, western red Procolobus badius",-0.05,0.68,11.9,4.6,6,8,4,3,0
Panthera pardus,81.5,"Civet, African Civetticus civetta",-0.06,0.42,1.1,0.9,7,9.333333333,1,2,0.5
Panthera pardus,81.5,"Colobus, black and white Colobus",-0.02,0.35,5.4,2.1,7,9.333333333,4,3,0
Panthera pardus,81.5,"Grysbok, Cape Raphicerus melanotis",-1,NaN,0,NaN,7,9.333333333,1,2.5,0
Panthera pardus,81.5,"Grysbok, Sharpe’s Raphicerus sharpei",-0.56,0.25,1.4,2,7,9.333333333,1,2.5,0
Panthera pardus,81.5,"Monkey, langur Presbytis entellus",0.06,0.51,12.1,7.7,7,9.333333333,4,2,0
Panthera pardus,81.5,Steenbok Raphicerus campestris,-0.18,0.18,4.6,1.4,8,10.66666667,1.5,1.5,0
Panthera pardus,81.5,Water chevrotain Hyemoschus aquaticus,0.82,0.17,2.4,1.1,8,10.66666667,1,3,0
Panthera pardus,81.5,"Duiker, white-bellied Cephalophus leucogaster",0.25,NaN,2.8,NaN,9,12,1,3,0
Panthera pardus,81.5,"Duiker, black-fronted Cephalophus nigrifrons",0.61,0.35,2.6,0.9,10,13.33333333,1,3,0
Panthera pardus,81.5,Klipspringer Oreotragus oreotragus,-0.25,0.25,4,1.8,10,13.33333333,2.5,3,0
Panthera pardus,81.5,Porcupine Hystrix africaeaustralis,-0.22,0.29,7.7,6.4,10,13.33333333,1,2,1.5
Panthera pardus,81.5,"Duiker, red forest species",0.37,0.21,31.8,9.6,11,14,,,
Panthera pardus,81.5,"Duiker, Weyn’s Cephalophus weynsi",-0.02,NaN,5.2,NaN,11,14.66666667,1,3,0
Panthera pardus,81.5,Baboon Papio cynocephalus,-0.56,0.16,2.8,2.4,12,16,5,2,1
Panthera pardus,81.5,"Duiker, bay Cephalophus dorsalis",0.09,0.56,4.8,1.1,14,18.66666667,1,3,0
Panthera pardus,81.5,Muntjac Muntiacus muntjak,-0.67,0.33,1,1,14,18.66666667,1,2.5,0
Panthera pardus,81.5,Oribi Ourebia ourebi,-0.41,0.33,0.6,0.5,14,18.66666667,2,1,0
Panthera pardus,81.5,"Gazelle, Thomson’s Gazella thomsoni",0.14,0.21,33.4,10.4,15,20,5,1,0
Panthera pardus,81.5,"Duiker, common Sylvicapra grimmia",0.42,0.11,10.6,2.7,16,21.33333333,1,3,0
Panthera pardus,81.5,Four-horned antelope Tetracornis quadricornis,-1,NaN,0,NaN,17,22.66666667,2,2,0
Panthera pardus,81.5,Bushbuck Tragelaphus scriptus,0.45,0.12,6,2,22.5,30,1,2.5,0
Panthera pardus,81.5,Chimpanzee Pan troglodytes,-0.01,0.24,1,0,22.5,30,4,2,1
Panthera pardus,81.5,"Reedbuck, mountain Redunca fulvorufula",-0.58,0.17,1.6,1,23,30.66666667,3,2.5,0
Panthera pardus,81.5,Springbok Antidorcas marsupialis,-0.59,0.31,16.9,16.1,26,34.66666667,5,1,0
Panthera pardus,81.5,Blackbuck Antilope cervicapra,-1,NaN,0,NaN,28,37.33333333,4,1,1
Panthera pardus,81.5,Chital Axis axis,0.34,0.31,63.5,10.3,30,40,5,1.5,0.5
Panthera pardus,81.5,Gerenuk Litocranius walleri,-1,NaN,0,NaN,30,40,1,1.5,0
Panthera pardus,81.5,Impala Aepyceros melampus,0.36,0.08,48.2,6.1,30,40,4,2,0
Panthera pardus,81.5,"Reedbuck, common Redunca aruninum",0.04,0.27,2.7,1.1,32,42.66666667,3,1.5,0.5
Panthera pardus,81.5,"Duiker, yellow-backed Cephalophus silvicultor",-0.41,0.31,2.1,0.8,34,45.33333333,1,2.5,0
Panthera pardus,81.5,"Reedbuck, bohor Redunca redunca",-0.43,0.57,10.1,9.9,35,46.66666667,3,1,0.5
Panthera pardus,81.5,"Gazelle, Grant’s Gazella granti",0.02,0.29,4.4,0.8,38,50.66666667,4,1,0
Panthera pardus,81.5,Aardvark Orycteropus afer,-0.24,0.53,1.3,0,40,53.33333333,1,2,0
Panthera pardus,81.5,Kob Kobus kob,-0.27,NaN,17.4,NaN,45,60,4,1,0
Panthera pardus,81.5,Warthog Phacochoerus africanus,-0.2,0.13,4.7,1,45,60,3,2,1.5
Panthera pardus,81.5,Bushpig/Red river hog Potamochoerus sp.,-0.17,0.26,7,4.4,46,61.33333333,3,3,1
Panthera pardus,81.5,Bontebok Damaliscus dorcas dorcas,-1,NaN,0,NaN,46.5,62,3,1,0
Panthera pardus,81.5,Nyala Tragelaphus angasi,-0.37,0.23,18.8,8.7,47,62.66666667,3,2,0.5
Panthera pardus,81.5,"Wild boar, Asiatic Sus scrofa",-0.39,0.61,9.2,9.2,47,62.66666667,3,2.5,1.5
Panthera pardus,81.5,Sitatunga Tragelaphus spekii,0.8,0.07,1.1,0.4,48,64,3,2.5,1
Panthera pardus,81.5,Puku Kobus vardoni,0.98,NaN,15.6,NaN,52,69.33333333,4,1,1
Panthera pardus,81.5,Blesbok Damaliscus dorcas phillipsi,-0.2,0.46,2.2,1.3,52.5,70,3,1,0
Panthera pardus,81.5,Barasingha Cercus duvauceli,0.46,NaN,4.5,NaN,54,72,1,2.5,0
Panthera pardus,81.5,Lechwe Kobus leche,-1,NaN,0,NaN,60,80,4,1,1
Panthera pardus,81.5,Nilgiri tahr Hemitragus hylocrius,-0.74,NaN,29.2,NaN,80,106.6666667,4,2,1
Panthera pardus,81.5,Topi/Tsessebe Damaliscus lunatus,-0.55,0.16,1,0.4,90,120,3,2,1
Panthera pardus,81.5,Hartebeest Alcephalus busephalus,-0.65,0.11,2.2,0.8,95,126.6666667,4,1.5,1
Panthera pardus,81.5,"Wildebeest, black Connochaetes gnou",-1,NaN,0,NaN,100,133.3333333,4,1,1.5
Panthera pardus,81.5,"Gorilla, lowland Gorilla gorilla",-0.38,0.42,1.9,0.8,120,160,3,3,1.5
Panthera pardus,81.5,Kudu Tragelaphus strepsiceros,-0.31,0.12,4.2,1.2,135,180,3,2,0.5
Panthera pardus,81.5,Nilgai Boselaphus tragocamelus,-0.74,0.3,0,0,135,180,3,2,2
Panthera pardus,81.5,"Wildebeest, blue Connochaetes taurinus",-0.77,0.06,2.8,0.3,135,180,5,1,1.5
Panthera pardus,81.5,Gemsbok Oryx gazelle,-0.33,0.21,4.7,2.4,158,210.6666667,4,1,2
Panthera pardus,81.5,Okapi Okapia johnstoni,0.77,NaN,2.4,NaN,158,210.6666667,1,3,1
Panthera pardus,81.5,"Zebra, plains Equus burchelli",-0.8,0.06,1.4,0.3,175,233.3333333,3,2,1.5
Panthera pardus,81.5,"Zebra, mountain Equus zebra",-1,0,0,NaN,179,238.6666667,3,1.5,1.5
Panthera pardus,81.5,Sable Hippotragus niger,-0.8,0.15,0.6,0.5,180,240,4,2,1.5
