"loc","time","carnivore","herb_range","carn_range","ratio","predmassmin","predmassmax","family","source"
"Spain","early Pleistocene","Pachycrocuta brevirostrias",6.6,0,0,110,110,"H","Palmqvist"
"Spain","early Pleistocene","Pachycrocuta brevirostris",6.6,1.5,0.227272727272727,110,110,"H","Palmqvist"
"Spain","early Pleistocene","Homotherium latidens",6.6,2.2,0.333333333333333,146,220,"F","Palmqvist"
"Spain","early Pleistocene","Megantereon whitei",6.6,0.800000000000001,0.121212121212121,100,160,"F","Palmqvist"
"Spain","early Pleistocene","Panthera cf. gombaszoegensis",6.6,0,0,110,210,"F","Palmqvist"
"Spain","early Pleistocene","Ursus etruscus",6.6,1.9,0.287878787878788,89.1,89.1,"U","Palmqvist"
"Spain","early Pleistocene","Lycaon lycaonoides",6.6,1.1,0.166666666666667,30,30,"C","Palmqvist"
"Spain","early Pleistocene","Canis mosbachensis",6.6,1.7,0.257575757575758,20.36,23.78,"C","Palmqvist"
"Beringia","Pre-glacial","Arctodus",6.65,0.5,0.075187969924812,570,1000,"U","FoxDobbs"
"Beringia","Pre-glacial","Canis",6.65,2,0.300751879699248,23,80,"C","FoxDobbs"
"Beringia","Pre-glacial","Homotherium",6.65,2.4,0.360902255639098,146,220,"F","FoxDobbs"
"Beringia","Pre-glacial","Ursus",6.65,1,0.150375939849624,180,360,"U","FoxDobbs"
"Beringia","Full-glacial","Arctodus",6.65,0,0,570,1000,"U","FoxDobbs"
"Beringia","Full-glacial","Canis",6.65,1.5,0.225563909774436,23,80,"C","FoxDobbs"
"Beringia","Full-glacial","Panthera",6.65,1,0.150375939849624,344,420,"F","FoxDobbs"
"Beringia","Full-glacial","Ursus",6.65,0.300000000000001,0.0451127819548873,180,360,"U","FoxDobbs"
"Beringia","Post-glacial","Canis",6.65,1.9,0.285714285714286,23,80,"C","FoxDobbs"
"Beringia","Post-glacial","Panthera",6.65,0.5,0.075187969924812,344,420,"F","FoxDobbs"
"Beringia","Post-glacial","Ursus",6.65,1.2,0.180451127819549,180,360,"U","FoxDobbs"
"Beringia","Holocene","Canis",6.65,0,0,23,80,"C","FoxDobbs"
"Friesenhahn Cave","Full-glacial","Homotherium",12.138,0.959,0.0790080738177624,146,220,"F","Koch-unpublished"
"Friesenhahn Cave","Full-glacial","Homotherium_ds",12.138,2,0.164771791069369,146,220,"F","DeSantis"
"Friesenhahn Cave","Full-glacial","Smilodon floridanus",12.138,6.599,0.543664524633383,160,280,"F","Koch-unpublished"
"Friesenhahn Cave","Full-glacial","Ursus americanus",12.138,2.661,0.219228868017795,227,370,"U","Koch-unpublished"
"Friesenhahn Cave","Full-glacial","Canis latrans",12.138,3.08,0.253748558246828,8,20,"C","Koch-unpublished"
"Friesenhahn Cave","Full-glacial","Canis dirus",12.138,0,0,60,68,"C","Koch-unpublished"
"Ingleside","Pre-glacial","Canis dirus",14.33,1.95,0.136078157711096,60,68,"C","Koch-unpublished"
"Ingleside","Pre-glacial","Tremarctos floridanus",14.33,0,0,110,110,"U","Koch-unpublished"
"Ingleside","Pre-glacial","Smilodon fatalis",14.33,0,0,160,280,"F","Koch-unpublished"
"Ingleside","Pre-glacial","Panthera atox",14.33,0,0,344,420,"F","Koch-unpublished"
"Fairmead","mid-Pleistocene","Arctodus simus",5.4,0,0,570,1000,"U","Traylor"
"Fairmead","mid-Pleistocene","Canis dirus",5.4,2.3,0.425925925925926,60,68,"C","Traylor"
"Fairmead","mid-Pleistocene","Canis latrans",5.4,2.4,0.444444444444444,8,20,"C","Traylor"
"Fairmead","mid-Pleistocene","Homotherium sp.",5.4,0,0,146,220,"F","Traylor"
"Fairmead","mid-Pleistocene","Smilodon sp. ",5.4,2.2,0.407407407407408,160,280,"F","Traylor"
"Fairmead","mid-Pleistocene","Miracinonyx sp.",5.4,0,0,50,50,"F","Traylor"
"McKittrick","mid-Pleistocene","Arctodus simus",10.6,0,0,570,1000,"U","Traylor"
"McKittrick","mid-Pleistocene","Canis dirus",10.6,10.1,0.952830188679245,60,68,"C","Traylor"
"McKittrick","mid-Pleistocene","Canis latrans",10.6,5.6,0.528301886792453,8,20,"C","Traylor"
"McKittrick","mid-Pleistocene","Panthera atrox",10.6,4,0.377358490566038,344,420,"F","Traylor"
"Irvington","early Pleistocene","Arctodus simus",3.66,0,0,570,1000,"U","Traylor"
"Irvington","early Pleistocene","Canis dirus",3.66,2.35,0.64207650273224,60,68,"C","Traylor"
"Irvington","early Pleistocene","Panthera onca",3.66,0,0,57,113,"F","Traylor"
"Irvington","early Pleistocene","Homotherium sp.",3.66,0,0,146,220,"F","Traylor"
"La Brea - P23","Pre-glacial","Canis dirus",3.8,1,0.263157894736842,60,68,"C","Fuller et al. 2014"
"La Brea - P23","Pre-glacial","Canis latrans",3.8,0,0,60,68,"C","Fuller 2020"
"La Brea - P23","Pre-glacial","Panthera atrox",3.8,0,0,344,420,"F","Fuller et al. 2014"
"La Brea - P23","Pre-glacial","Smilodon fatalis",3.8,1,0.263157894736842,347,355,"F","Fuller et al. 2014"
"La Brea","Pre/Full-glacial","C. dirus",2.91,3.56,1.2233676975945,60,68,"C","Coltrain 2004"
"La Brea","Pre/Full-glacial","C. latrans",2.91,2.45,0.841924398625429,8,20,"C","Coltrain 2004"
"La Brea","Pre/Full-glacial","P. leo atrox",2.91,2.17,0.745704467353951,344,420,"F","Coltrain 2004"
