"loc","time","carnivore","herb_range","carn_range","ratio","predmassmin","predmassmax","family","source"
"Serengeti","Modern","Lion",498,495,0.993975903614458,126,189,"F","Sinclair"
"Serengeti","Modern","Hyaena",498,248,0.497991967871486,52,60,"H","Sinclair"
"Serengeti","Modern","Wild dog",498,230,0.461847389558233,18,36,"C","Sinclair"
"Serengeti","Modern","Leopard",498,99,0.198795180722892,30,72,"F","Sinclair"
"Serengeti","Modern","Cheetah",498,99,0.198795180722892,21,72,"F","Sinclair"
"Serengeti","Modern","Serval",498,10.5,0.0210843373493976,9,18,"F","Sinclair"
"Serengeti","Modern","Caracal",498,9.9,0.0198795180722892,8,19,"F","Sinclair"
"Serengeti","Modern","Wild cat",498,2.99,0.00600401606425703,4,4,"F","Sinclair"
"Serengeti","Modern","Silver jackal",498,2,0.00401606425702811,6,13,"C","Sinclair"
"Serengeti","Modern","Goldon jackal",498,1.9,0.00381526104417671,7,15,"C","Sinclair"
