loc,time,habitat,species,trophic,d13c,d15n,family,predmass_min,predmass_max,Body Mass Reference,Isotope Reference
Spain,early Pleistocene,C3,Mammuthus meridionalis,1,-21.4,4.7,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Mammuthus meridionalis,1,-20.6,2.9,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Mammuthus meridionalis,1,-23.4,4.3,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Mammuthus meridionalis,1,-21.1,3.2,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Mammuthus meridionalis,1,-22.8,3.5,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Mammuthus meridionalis,1,-22.9,3.2,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Mammuthus meridionalis,1,-23.4,3.8,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Mammuthus meridionalis,1,-22.2,5.1,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Hippopotamus antiquus,1,-22.3,7.7,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Hippopotamus antiquus,1,-22.6,7.4,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Hippopotamus antiquus,1,-21.2,7.1,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Hippopotamus antiquus,1,-23,5.7,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Hippopotamus antiquus,1,-22.2,6,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Bison sp.,1,-22.1,3.8,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Bison sp.,1,-21.5,3.6,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Bison sp.,1,-21.4,3.5,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Bison sp.,1,-21.8,4,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Bison sp.,1,-22.7,4.6,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Bison sp.,1,-22.4,3.1,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Soergelia minor,1,-23.2,3.2,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Soergelia minor,1,-23.5,3.4,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Soergelia minor,1,-23,3.8,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Soergelia minor,1,-23.9,2.2,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Soergelia minor,1,-23.4,4.3,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Hemitragus albus,1,-20.9,4,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Hemitragus albus,1,-20.1,3.9,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Hemitragus albus,1,-20.4,3.7,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Hemitragus albus,1,-21.6,3.4,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Pseudodama sp.,1,-23.6,2.5,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Pseudodama sp.,1,-23.8,2.9,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Pseudodama sp.,1,-23.2,2.6,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Pseudodama sp.,1,-22.8,1.8,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Pseudodama sp.,1,-22.2,2.2,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Praemegaceros verticornis,1,-25.9,1.6,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Praemegaceros verticornis,1,-25.6,1.3,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Praemegaceros verticornis,1,-25.4,1.8,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Praemegaceros verticornis,1,-25.8,1.4,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Praemegaceros verticornis,1,-25.9,2.3,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Praemegaceros verticornis,1,-24.4,1.7,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Praemegaceros verticornis,1,-25.2,2,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Stephanorhinus etruscus,1,-26.5,3.9,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Stephanorhinus etruscus,1,-26.6,3.7,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Stephanorhinus etruscus,1,-26.2,3.5,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Stephanorhinus etruscus,1,-25.8,3,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Stephanorhinus etruscus,1,-25.2,3.6,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Equus altidens,1,-26.1,2,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Equus altidens,1,-26.7,3.5,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Equus altidens,1,-26,3,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Equus altidens,1,-26,3.3,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Equus altidens,1,-25.5,3.5,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Equus altidens,1,-25,2.1,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Equus altidens,1,-25.8,2.8,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Equus altidens,1,-26.6,3.1,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Equus altidens,1,-25.8,3.5,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Equus altidens,1,-26.3,2,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Equus altidens,1,-25.1,2.6,,,,,Palmqvist 2008
Spain,early Pleistocene,C3,Pachycrocuta brevirostrias,2,-22.5,6.1,H,110,110,Figueirido et al. 2011,Palmqvist 2008
Spain,early Pleistocene,C3,Pachycrocuta brevirostris,2,-23,4.7,H,110,110,Figueirido et al. 2011,Palmqvist 2008
Spain,early Pleistocene,C3,Pachycrocuta brevirostris,2,-21.5,5.8,H,110,110,Figueirido et al. 2011,Palmqvist 2008
Spain,early Pleistocene,C3,Pachycrocuta brevirostris,2,-21.5,6.7,H,110,110,Figueirido et al. 2011,Palmqvist 2008
Spain,early Pleistocene,C3,Homotherium latidens,2,-21.7,6.8,F,146,220,Palmqvist 1996,Palmqvist 2008
Spain,early Pleistocene,C3,Homotherium latidens,2,-22.7,6.5,F,146,220,Palmqvist 1996,Palmqvist 2008
Spain,early Pleistocene,C3,Homotherium latidens,2,-23.9,5.6,F,146,220,Palmqvist 1996,Palmqvist 2008
Spain,early Pleistocene,C3,Megantereon whitei,2,-25.2,5.8,F,100,160,Palmqvist 1996,Palmqvist 2008
Spain,early Pleistocene,C3,Megantereon whitei,2,-24.4,5.1,F,100,160,Palmqvist 1996,Palmqvist 2008
